"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1023","test_mongos_has_user","tests.integration","Fri Apr 18 01:41:16 UTC 2025","passed","Fri Apr 18 01:41:17 UTC 2025","","test_charm","",""
"Build and deploy a sharded cluster.","644511","test_build_and_deploy","tests.integration.upgrade_tests","Fri Apr 18 01:27:49 UTC 2025","passed","Fri Apr 18 01:38:33 UTC 2025","","test_rollback","",""
"Tests that mongos powers down when no config server is accessible.","139521","test_mongos_stops_without_config_server","tests.integration","Fri Apr 18 01:49:44 UTC 2025","passed","Fri Apr 18 01:52:04 UTC 2025","","test_charm","",""
"Tests race condition: mongos charm can integrate with TLS and then the config-server.","437752","test_mongos_tls_enabled","tests.integration.tls_tests","Fri Apr 18 01:43:23 UTC 2025","passed","Fri Apr 18 01:50:41 UTC 2025","","test_tls_race_conds","",""
"Build and deploy a sharded cluster.","647278","test_build_and_deploy","tests.integration.upgrade_tests","Fri Apr 18 01:28:29 UTC 2025","passed","Fri Apr 18 01:39:16 UTC 2025","","test_upgrade","",""
"Tests that mongos powers down when no config server is accessible.","236737","test_mongos_can_scale","tests.integration","Fri Apr 18 01:45:48 UTC 2025","passed","Fri Apr 18 01:49:44 UTC 2025","","test_charm","",""
"","730156","test_mongos_rotate_certs","tests.integration.tls_tests","Fri Apr 18 01:49:57 UTC 2025","passed","Fri Apr 18 02:02:07 UTC 2025","","test_tls","",""
"","268283","test_mongos_updates_config_db","tests.integration","Fri Apr 18 01:41:17 UTC 2025","passed","Fri Apr 18 01:45:46 UTC 2025","","test_charm","",""
"","1806","test_user_with_extra_roles","tests.integration","Fri Apr 18 01:45:46 UTC 2025","passed","Fri Apr 18 01:45:48 UTC 2025","","test_charm","",""
"Verify hosts are up to date after scaling.","218314","test_mongos_can_scale","tests.integration.external_relations","Fri Apr 18 01:38:47 UTC 2025","passed","Fri Apr 18 01:42:25 UTC 2025","","test_charm","",""
"Verifies that the application and unit are active.","41225","test_waits_for_config_server","tests.integration","Fri Apr 18 01:34:36 UTC 2025","passed","Fri Apr 18 01:35:17 UTC 2025","","test_charm","",""
"Build and deploy a sharded cluster.","914375","test_build_and_deploy","tests.integration.tls_tests","Fri Apr 18 01:28:09 UTC 2025","passed","Fri Apr 18 01:43:23 UTC 2025","","test_tls_race_conds","",""
"Verify mongos has user and is able to connect externally via IP-address.","1049","test_mongos_has_user","tests.integration.external_relations","Fri Apr 18 01:38:46 UTC 2025","passed","Fri Apr 18 01:38:47 UTC 2025","","test_charm","",""
"Tests that mongos charm can enable TLS.","456646","test_mongos_tls_enabled","tests.integration.tls_tests","Fri Apr 18 01:42:20 UTC 2025","passed","Fri Apr 18 01:49:57 UTC 2025","","test_tls","",""
"Tests that mongos charm can disable TLS.","287196","test_mongos_tls_ca_mismatch","tests.integration.tls_tests","Fri Apr 18 02:13:23 UTC 2025","passed","Fri Apr 18 02:18:10 UTC 2025","","test_tls","",""
"Build and deploy a sharded cluster.","279561","test_build_and_deploy","tests.integration.external_relations","Fri Apr 18 01:27:47 UTC 2025","passed","Fri Apr 18 01:32:27 UTC 2025","","test_charm","",""
"Tests that mongos charm can disable TLS.","367816","test_mongos_tls_disabled","tests.integration.tls_tests","Fri Apr 18 02:02:07 UTC 2025","passed","Fri Apr 18 02:08:15 UTC 2025","","test_tls","",""
"Tests that upgrade can be ran successfully.","68302","test_failed_upgrade_and_rollback","tests.integration.upgrade_tests","Fri Apr 18 01:38:33 UTC 2025","passed","Fri Apr 18 01:39:41 UTC 2025","","test_rollback","",""
"Test that mongos can enable TLS after being integrated to cluster .","307858","test_tls_reenabled","tests.integration.tls_tests","Fri Apr 18 02:08:15 UTC 2025","passed","Fri Apr 18 02:13:23 UTC 2025","","test_tls","",""
"Tests that upgrade can be ran successfully.","132232","test_upgrade","tests.integration.upgrade_tests","Fri Apr 18 01:39:16 UTC 2025","passed","Fri Apr 18 01:41:28 UTC 2025","","test_upgrade","",""
"Build and deploy a sharded cluster.","840608","test_build_and_deploy","tests.integration.tls_tests","Fri Apr 18 01:28:20 UTC 2025","passed","Fri Apr 18 01:42:20 UTC 2025","","test_tls","",""
"Build and deploy a sharded cluster.","359656","test_build_and_deploy","tests.integration","Fri Apr 18 01:28:36 UTC 2025","passed","Fri Apr 18 01:34:36 UTC 2025","","test_charm","",""
"","359344","test_mongos_starts_with_config_server","tests.integration","Fri Apr 18 01:35:17 UTC 2025","passed","Fri Apr 18 01:41:16 UTC 2025","","test_charm","",""
"Verify mongos is running and can be accessed externally via IP-address.","379025","test_mongos_starts_with_config_server","tests.integration.external_relations","Fri Apr 18 01:32:27 UTC 2025","passed","Fri Apr 18 01:38:46 UTC 2025","","test_charm","",""
